color_balance: 0.0430s
rotate_hue: 0.8201s
invert_colors: 0.0362s
posterize: 0.0348s
         76656 function calls (75748 primitive calls) in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1581    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      852    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       82    0.000    0.000    0.001    0.000 Image.py:532(__init__)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      360    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       11    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       10    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      220    0.000    0.000    0.000    0.000 Image.py:542(im)
       10    0.000    0.000    0.000    0.000 typing.py:892(__init__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      393    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      659    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
      906    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      644    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
      382    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
     1202    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
