sobel: 2.5854s
canny: 1.2202s
kovalevsky: 0.6315s
         794736 function calls (772285 primitive calls) in 4.499 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      925    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:79(__init__)
       81    0.001    0.000    0.003    0.000 __init__.py:675(joinpath)
     2642    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
     1143    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.003    0.003 lookfor.py:1(<module>)
      636    0.002    0.000    0.003    0.000 _docscrape.py:28(__init__)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      440    0.001    0.000    0.003    0.000 _docscrape.py:303(parse_item_name)
        1    0.000    0.000    0.003    0.003 scanner.py:1(<module>)
       50    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
        1    0.000    0.000    0.003    0.003 __init__.py:152(EntryPoint)
      161    0.000    0.000    0.003    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.003    0.003 auxfuncs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _fftlog_backend.py:1(<module>)
       16    0.000    0.000    0.003    0.000 typing.py:1291(__ror__)
        2    0.000    0.000    0.003    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
        5    0.000    0.000    0.003    0.001 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
     1860    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     6477    0.003    0.000    0.003    0.000 _docscrape.py:153(__getitem__)
      462    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
